,Location,Latitude,Longitude,Altitude
175,Gaushala Municipality,26.92078,85.80564,128.0
176,Jaleswor Municipality,26.64127,85.7913,68.0
177,Loharpatti Municipality,26.80186,85.8493,89.0
178,Manra Siswa Municipality,26.72737,85.76102,75.0
179,Matihani Municipality,26.61708,85.84079,66.0
180,Ramgopalpur Municipality,26.81037,85.79899,87.0
181,Ekdanra Rural Municipality,26.6751,85.74868,69.0
182,Mahottari Rural Municipality,26.879142237,85.819913653,108.0
183,Pipra Rural Municipality,26.70745,85.85249,78.0
184,Samsi Rural Municipality,26.80872,85.73249,88.0
185,Sonama Rural Municipality,26.86226,85.74337,99.0
186,Birgunj Metropolitian City,27.239626604,84.780150251,159.0
187,Bahudaramai Municipality,27.07853,84.8238,92.0
188,Parsagadhi Municipality,27.16668,84.89306,116.0
189,Pokhariya Municipality,27.08189,84.75855,88.0
190,Bindabasini Rural Municipality,27.03908,84.81501,86.0
191,Chhipaharmai Rural Municipality,27.06336,84.6647,87.0
192,Dhobini Rural Municipality,27.07338,84.69091,89.0
193,Jagarnathpur Rural Municipality,27.06714,84.69047,90.0
194,Jirabhawani Rural Municipality,27.18584,84.7057,109.0
195,Kalikamai Rural Municipality,27.239626604,84.780150251,159.0
196,Pakahamainpur Rural Municipality,27.02523,84.73609,81.0
197,Paterwasugauli Rural Municipality,27.18718,84.77259,114.0
198,SakhuwaPrasauni Rural Municipality,27.16299,84.81942,102.0
199,Thori Rural Municipality,27.36705,84.62481,289.0
200,Baudhimai Municipality,26.8926,85.23308,83.0
201,Brindaban Municipality,27.04348,85.39737,111.0
202,Chandrapur Municipality,27.12629,85.3846,140.0
203,Dewahhi Gonahi Municipality,26.91225,85.25573,85.0
204,Gadhimai Municipality,26.9459,85.3713,91.0
205,Garuda Municipality,26.95129,85.3259,92.0
206,Gaur Municipality,26.77969,85.27556,74.0
207,Gujara Municipality,27.11174,85.25082,134.0
208,Ishanath Municipality,26.80056,85.20921,75.0
209,Katahariya Municipality,26.97495,85.2354,93.0
210,Madhav Narayan Municipality,26.88932,85.33878,86.0
211,Maulapur Municipality,26.92703,85.19877,87.0
212,Paroha Municipality,26.85098,85.2339,80.0
213,Phatuwa Bijayapur Municipality,27.03446,85.20542,105.0
214,Rajdevi Municipality,26.76473,85.34324,76.0
215,Rajpur Municipality,26.81286,85.25954,78.0
216,Durga Bhagwati Rural Municipality,26.83213,85.31311,80.0
217,Yemunamai Rural Municipality,27.00158038,85.302305403,93.0
218,Bode Barsain Municipality,26.5704,86.5834,90.0
219,Dakneshwori Municipality,26.53181,86.63346,85.0
220,Hanumannagar Kankalini Municipality,26.51172,86.87737,74.0
221,Kanchanrup Municipality,26.63123,86.89474,101.0
222,Khadak Municipality,26.63143,86.59766,115.0
223,Rajbiraj Municipality,26.5402,86.74859,88.0
224,Saptakoshi Rural Municipality,26.71733,86.93621,102.0
225,Shambhunath Municipality,26.60153,86.68252,111.0
226,Surunga Municipality,26.69416,86.55093,140.0
227,Agnisair Krishna Savaran Rural Municipality,26.64004,86.78881,134.0
228,Balan Bihul Rural Municipality,26.598053399,86.746158901,106.0
229,Bishnupur Rural Municipality,26.5033,86.72616,80.0
230,Chhinnamasta Rural Municipality,26.44666,86.71646,71.0
231,Mahadeva Rural Municipality,26.53745,86.81135,80.0
232,Rajgadh Rural Municipality,26.598053399,86.746158901,106.0
233,Rupani Rural Municipality,26.62979,86.71173,133.0
234,Tilathi Koiladi Rural Municipality,26.4906,86.8265,74.0
235,Tirahut Rural Municipality,26.59105,86.86199,92.0
236,Bagmati Municipality,27.08079,85.4792,120.0
237,Balara Municipality,26.77821,85.37508,76.0
238,Barahathawa Municipality,27.01953,85.45917,103.0
239,Godaita Municipality,26.86194,85.46627,84.0
240,Haripur Municipality,27.02448,85.58192,122.0
241,Haripurwa Municipality,26.89601,85.68485,100.0
242,Hariwan Municipality,27.09165,85.58205,149.0
243,Ishworpur Municipality,27.0048,85.61587,123.0
244,Kabilasi Municipality,27.89754,85.29511,1257.0
245,Lalbandi Municipality,27.05429,85.63239,152.0
246,Malangawa Municipality,26.85559,85.55996,87.0
247,Basbariya Rural Municipality,27.066,85.00138,106.0
248,Bishnu Rural Municipality,26.8309,85.49052,81.0
249,Bramhapuri Rural Municipality,26.88788,85.6127,88.0
250,Chakraghatta Rural Municipality,26.89465,85.52807,93.0
251,Chandranagar Rural Municipality,26.93626,85.60454,101.0
252,Dhankaul Rural Municipality,26.90299,85.43744,86.0
253,Kaudena Rural Municipality,26.86177,85.50894,87.0
254,Parsa Rural Municipality,26.88216,85.63519,91.0
255,Ramnagar Rural Municipality,26.85201,85.38723,83.0
256,Dhangadhimai Municipality,26.80999,86.42795,207.0
257,Golbazar Municipality,26.80322,86.3346,152.0
258,Kalyanpur Municipality,26.76345,86.20346,93.0
259,Karjanha Municipality,26.84219,86.21497,122.0
260,Lahan Municipality,26.7125,86.48811,122.0
261,Mirchaiya Municipality,26.85932,86.17007,106.0
262,Siraha Municipality,26.7125,86.48811,122.0
263,Sukhipur Municipality,26.70995,86.34997,104.0
264,Arnama Rural Municipality,26.69381,86.28559,94.0
265,Aurahi Rural Municipality,26.62763,86.3004,82.0
266,Bariyarpatti Rural Municipality,26.63194,86.34527,86.0
267,Bhagawanpur Rural Municipality,26.59148,86.48686,88.0
268,Bishnupur Rural Municipality,26.72635,86.24977,95.0
269,Laxmipur Patari Rural Municipality,26.6702,86.3922,99.0
270,Naraha Rural Municipality,26.746454493,86.342424177,122.0
271,Nawarajpur Rural Municipality,26.59806,86.40927,91.0
272,Sakhuwanankarkatti Rural Municipality,26.63894,86.50025,108.0
273,Bhumekasthan Municipality,27.98799,83.17605,1013.0
274,Sandhikharka Municipality,27.97263,83.12486,954.0
275,Sitganga Municipality,27.83968,82.98723,1207.0
276,Chhatradev Rural Municipality,28.01024,83.20679,967.0
277,Malarani Rural Municipality,28.06702,83.07274,1769.0
278,Panini Rural Municipality,27.88416,83.25291,1058.0
279,Kohalpur Municipality,28.22553,81.72842,179.0
280,Baijanath Rural Municipality,28.24311,81.65924,174.0
281,Duduwa Rural Municipality,28.0332,81.71051,140.0
282,Janki Rural Municipality,28.087173474,81.822276922,155.0
283,Khajura Rural Municipality,28.07408,81.62037,147.0
284,Narainapur Rural Municipality,27.90277,81.84215,139.0
285,Rapti Sonari Rural Municipality,28.09756,81.87933,210.0
286,Nepalgunj Sub-Metropolitian City,28.05,81.61667,149.0
287,Bansagadhi Municipality,28.35832,81.73851,475.0
288,Barbardiya Municipality,28.32224,81.3977,158.0
289,Gulariya Municipality,28.2058,81.34532,147.0
290,Madhuwan Municipality,28.33577,81.2707,162.0
291,Rajapur Municipality,28.42721,81.09123,145.0
292,Thakurbaba Municipality,28.4436,81.28988,184.0
293,Badhaiyatal Rural Municipality,28.15209,81.48387,145.0
294,Geruwa Rural Municipality,28.49915,81.1873,162.0
295,Lamahi Municipality,27.87183,82.52079,258.0
296,Babai Rural Municipality,28.16829,82.08431,598.0
297,Banglachuli Rural Municipality,27.99384,82.67143,1529.0
298,Dangisharan Rural Municipality,28.08608,82.15646,580.0
299,Gadhawa Rural Municipality,27.81001,82.53929,256.0
300,Rajpur Rural Municipality,27.88404,82.23904,532.0
301,Rapti Rural Municipality,27.968780912,82.402294235,821.0
302,Shantinagar Rural Municipality,28.15982,82.22356,667.0
303,Ghorahi Sub-Metropolitian City,27.67465,85.32364,1326.0
304,Tulsipur Sub-Metropolitian City,28.15346,82.31172,745.0
305,Musikot Municipality,28.17156,83.25859,1213.0
306,Resunga Municipality,28.05267,83.25598,1500.0
307,Chandrakot Rural Municipality,28.1153,83.4355,1736.0
308,Chatrakot Rural Municipality,27.98666,83.34978,1180.0
309,Dhurkot Rural Municipality,28.11827,83.16532,1245.0
310,Gulmidarbar Rural Municipality,28.0416,83.31386,1170.0
311,Isma Rural Municipality,28.16501,83.21671,1295.0
312,Kaligandaki Rural Municipality,28.05226,83.52767,1360.0
313,Madane Rural Municipality,28.17505,83.06921,1495.0
314,Malika Rural Municipality,28.21359,83.14999,2004.0
315,Ruru Rural Municipality,27.94827,83.42579,881.0
316,Satyawati Rural Municipality,28.02869,83.47358,1425.0
317,Banganga Municipality,27.69013,83.21047,168.0
318,Buddhabhumi Municipality,27.68409,83.00297,119.0
319,Kapilbastu Municipality,27.5445,83.05356,108.0
320,Krishnanagar Municipality,27.50662,82.78785,101.0
321,Maharajgunj Municipality,27.5369,82.94074,102.0
322,Shivaraj Municipality,27.5445,83.05356,108.0
323,Bijayanagar Rural Municipality,27.55008,82.83081,105.0
324,Mayadevi Rural Municipality,27.5246,83.1424,101.0
325,Suddhodhan Rural Municipality,27.50984,83.19537,97.0
326,Yashodhara Rural Municipality,27.48504,83.05861,95.0
327,Bardaghat Municipality,27.56847,83.79448,208.0
328,Ramgram Municipality,27.52867,83.67453,114.0
329,Sunwal Municipality,27.61889,83.64176,135.0
330,Palhi Nandan Rural Municipality,27.4806,83.66486,110.0
331,Pratappur Rural Municipality,27.45968,83.81821,109.0
332,Sarawal Rural Municipality,27.49197,83.72584,109.0
333,Susta Rural Municipality,27.633725066,83.953150123,186.0
334,Rampur Municipality,27.85795,83.89469,421.0
335,Tansen Municipality,27.86731,83.5467,1299.0
336,Bagnaskali Rural Municipality,27.87945,83.60755,944.0
337,Mathagadhi Rural Municipality,27.76547,83.65733,1291.0
338,Nisdi Rural Municipality,27.87129,83.81237,358.0
339,Purbakhola Rural Municipality,27.8241,83.78219,1007.0
340,Rainadevi Chhahara Rural Municipality,27.85833,83.3507,1544.0
341,Rambha Rural Municipality,27.86715,83.6886,1722.0
342,Ribdikot Rural Municipality,27.86674,83.45471,1361.0
343,Tinau Rural Municipality,27.76465,83.47024,797.0
344,Pyuthan Municipality,28.25,82.83333,1569.0
345,Sworgadwary Municipality,28.13282,82.69597,1320.0
346,Ayirabati Rural Municipality,27.93301,82.94194,395.0
347,Gaumukhi Rural Municipality,28.25377,83.03231,1291.0
348,Jhimruk Rural Municipality,28.14881,82.98607,1201.0
349,Mallarani Rural Municipality,28.07563,82.91985,1259.0
350,Mandavi Rural Municipality,28.04734,82.77364,1038.0
351,Naubahini Rural Municipality,28.25316,82.91058,1813.0
352,Sarumarani Rural Municipality,27.94505,82.83908,634.0
353,Rolpa Municipality,28.344170708,82.628061641,1519.0
354,Gangadev Rural Municipality,28.32627,82.51661,1734.0
355,Lungri Rural Municipality,28.26587,82.81048,1526.0
356,Madi Rural Municipality,28.40239,82.50796,1219.0
357,Pariwartan Rural Municipality,28.344170708,82.628061641,1519.0
358,Runtigadi Rural Municipality,28.17731,82.51468,1785.0
359,Sunchhahari Rural Municipality,28.38025,82.83012,1999.0
360,Sunil Smriti Rural Municipality,28.344170708,82.628061641,1519.0
361,Thawang Rural Municipality,28.45897,82.74293,2701.0
362,Tribeni Rural Municipality,28.31085,82.43084,1427.0
363,Bhume Rural Municipality,28.56659,82.68457,2013.0
364,Putha Uttarganga Rural Municipality,28.65782,82.807,2186.0
365,Sisne Rural Municipality,28.7806,82.67425,2554.0
366,Devdaha Municipality,27.63345,83.57195,134.0
367,Lumbini Sanskritik Municipality,27.46987,83.24785,96.0
368,Sainamaina Municipality,27.70746,83.30405,135.0
369,Siddharthanagar Municipality,27.50495,83.43688,108.0
370,Tillotama Municipality,27.6109,83.49071,124.0
371,Gaidahawa Rural Municipality,27.59386,83.26242,127.0
372,Kanchan Rural Municipality,27.63796,83.26374,118.0
373,Kotahimai Rural Municipality,27.576640942,83.38953577,108.0
374,Marchawari Rural Municipality,27.41166,83.37358,102.0
375,Mayadevi Rural Municipality,27.51435,83.36778,103.0
376,Omsatiya Rural Municipality,27.5251,83.50926,117.0
377,Rohini Rural Municipality,27.50103,83.5515,106.0
378,Sammarimai Rural Municipality,27.44609,83.34465,98.0
379,Siyari Rural Municipality,27.5697,83.37717,109.0
380,Sudhdhodhan Rural Municipality,27.61418,83.3671,118.0
381,Butwal Sub-Metropolitian City,27.67465,85.32364,1326.0
382,Bhaktapur Municipality,27.69093,84.42484,191.0
383,Changunarayan Municipality,27.71711,85.4318,1493.0
384,Madhyapur Thimi Municipality,27.67441,85.36008,1319.0
385,Suryabinayak Municipality,27.666279993796,85.428742542665,1322.0
386,Bharatpur Metropolitian City,27.6768,84.43589,213.0
387,Kalika Municipality,27.69543,85.766,1075.0
388,Khairahani Municipality,27.61623,84.56904,201.0
389,Madi Municipality,27.43461,84.35334,232.0
390,Rapti Municipality,27.64944,84.66375,418.0
391,Ratnanagar Municipality,27.61541,84.51206,196.0
392,Ichchhyakamana Rural Municipality,27.80278,84.58055,1040.0
393,Dhunibesi Municipality,27.72283,85.17161,971.0
394,Nilakantha Municipality,27.86424,84.9283,1461.0
395,Benighat Rorang Rural Municipality,27.74682,84.75988,943.0
396,Gajuri Rural Municipality,27.76708,84.86147,1033.0
397,Galchi Rural Municipality,27.78044,84.98979,878.0
398,Gangajamuna Rural Municipality,28.09141,84.92378,2325.0
399,Jwalamukhi Rural Municipality,27.92024,84.79439,845.0
400,Khaniyabash Rural Municipality,28.03868,85.00189,1308.0
401,Netrawati Dabjong Rural Municipality,27.98994,84.97375,1618.0
402,Rubi Valley Rural Municipality,28.22589,85.08414,2419.0
403,Siddhalek Rural Municipality,27.84644,84.83869,679.0
404,Thakre Rural Municipality,27.72709,85.09538,1300.0
405,Tripura Sundari Rural Municipality,27.9407,84.78035,1163.0
406,Bhimeshwor Municipality,27.67855,86.02374,2056.0
407,Jiri Municipality,27.63275,86.22571,1943.0
408,Baiteshwor Rural Municipality,27.63653,86.13459,1666.0
409,Bigu Rural Municipality,27.84049,86.01372,3572.0
410,Gaurishankar Rural Municipality,27.88281,86.40671,4032.0
411,Kalinchok Rural Municipality,27.78933,86.0898,1720.0
412,Melung Rural Municipality,27.51633,86.07123,1329.0
413,Sailung Rural Municipality,27.61418,85.97999,1948.0
414,Tamakoshi Rural Municipality,27.54264,86.1239,2120.0
415,Kathmandu Metropolitian City,27.70819,85.30569,1313.0
416,Budhanilakantha Municipality,27.77715,85.36395,1455.0
417,Chandragiri Municipality,27.68696,85.23522,1418.0
418,Dakshinkali Municipality,27.60479,85.27292,1440.0
419,Gokarneshwor Municipality,27.76527,85.40792,1625.0
420,Kageshwori Manahora Municipality,27.73165,85.41696,1376.0
421,Kirtipur Municipality,27.68221,85.27269,1377.0
422,Nagarjun Municipality,27.72427,85.26045,1537.0
423,Shankharapur Municipality,27.75297,85.5037,1626.0
424,Tarakeshwor Municipality,27.77716,85.29068,1386.0
425,Tokha Municipality,27.7749,85.33492,1363.0
426,Banepa Municipality,27.63245,85.52192,1475.0
427,Dhulikhel Municipality,27.6221,85.54281,1480.0
428,Mandandeupur Municipality,27.70725,85.59814,881.0
429,Namobuddha Municipality,27.55556,85.63653,1217.0
430,Panauti Municipality,27.58466,85.52122,1438.0
431,Panchkhal Municipality,27.6437,85.63998,870.0
432,Bethanchowk Rural Municipality,27.50472,85.50667,1946.0
433,Bhumlu Rural Municipality,27.62689,85.74215,1314.0
434,Chaurideurali Rural Municipality,27.57093,85.78195,1506.0
435,Khanikhola Rural Municipality,27.42743,85.49119,1026.0
436,Mahabharat Rural Municipality,27.3975,85.63072,1253.0
437,Roshi Rural Municipality,27.46843,85.65714,1640.0
438,Temal Rural Municipality,27.51128,85.75572,1742.0
439,Lalitpur Metropolitian City,27.67465,85.32364,1326.0
440,Godawari Municipality,27.58653,85.379,1599.0
441,Mahalaxmi Municipality,27.63263,85.38239,1376.0
442,Bagmati Rural Municipality,27.66617,85.30975,1301.0
443,Konjyosom Rural Municipality,27.52091,85.34789,1713.0
444,Mahankal Rural Municipality,27.47458,85.40533,1453.0
445,Thaha Municipality,27.64432,85.09956,1812.0
446,Bagmati Rural Municipality,27.29583,85.3667,463.0
447,Bakaiya Rural Municipality,27.3401,85.21159,351.0
448,Bhimphedi Rural Municipality,27.5326,85.11616,1204.0
449,Indrasarowar Rural Municipality,27.60147,85.18921,1596.0
450,Kailash Rural Municipality,27.60988,84.95558,1149.0
451,Makawanpurgadhi Rural Municipality,27.41187,85.14203,905.0
452,Manahari Rural Municipality,27.48565,84.8599,328.0
453,Raksirang Rural Municipality,27.59758,84.85797,1159.0
454,Hetauda Sub-Metropolitian City,27.42839,85.03219,466.0
455,Belkotgadhi Municipality,27.82594,85.11147,1451.0
456,Bidur Municipality,27.89277,85.14966,576.0
457,Dupcheshwar Rural Municipality,27.94967,85.39359,1121.0
458,Kakani Rural Municipality,27.81717,85.24556,1850.0
459,Kispang Rural Municipality,28.03525,85.10528,1985.0
460,Likhu Rural Municipality,27.86135,85.40489,1213.0
461,Myagang Rural Municipality,27.915074746,85.235381823,1000.0
462,Panchakanya Rural Municipality,27.89607,85.31347,1390.0
463,Shivapuri Rural Municipality,27.85116,85.36543,1058.0
464,Suryagadhi Rural Municipality,27.94628,85.23922,1104.0
465,Tadi Rural Municipality,27.96657,85.33973,1539.0
466,Tarkeshwar Rural Municipality,27.88355,85.04134,770.0
467,Manthali Municipality,27.37073,86.05003,802.0
468,Ramechhap Municipality,27.32207,86.05913,1073.0
469,Doramba Rural Municipality,27.52115,85.9411,2263.0
470,Gokulganga Rural Municipality,27.58384,86.28,2488.0
471,Khadadevi Rural Municipality,27.42641,85.91784,799.0
472,Likhu Tamakoshi Rural Municipality,27.44814,86.18537,2436.0
473,Sunapati Rural Municipality,27.50677,85.86131,1409.0
